term_id,p_value
GO:0048518,0.014340231935046717
GO:0034243,0.01439865455171502
GO:0009893,0.01439865455171502
GO:0010604,0.020574121429044225
GO:0043412,0.020574121429044225
GO:0006464,0.022020542914274653
GO:0036211,0.022020542914274653
GO:0034244,0.022020542914274653
GO:0006807,0.022070028648697705
GO:1905461,0.02613108431767871
GO:0008152,0.02613108431767871
GO:0010646,0.02613108431767871
GO:0019222,0.02613108431767871
GO:0023051,0.02613108431767871
GO:0048522,0.02613108431767871
GO:0048167,0.02613108431767871
GO:0032785,0.02613108431767871
GO:1905063,0.027851544086422566
GO:0071704,0.029697283733228007
GO:0032784,0.029697283733228007
GO:0031323,0.029697283733228007
GO:0006996,0.032337796733240984
GO:0031325,0.036929058726987436
GO:0098916,0.03752300465558437
GO:0097435,0.03752300465558437
GO:0042592,0.03752300465558437
GO:0071495,0.03752300465558437
GO:0065008,0.03752300465558437
GO:0044237,0.03752300465558437
GO:0007268,0.03752300465558437
GO:0098660,0.03828155927231974
GO:0099537,0.03828155927231974
GO:0060255,0.03828155927231974
GO:0002262,0.03828155927231974
GO:0035886,0.03828155927231974
GO:0044260,0.03893499541483493
GO:0048856,0.03897721838580136
GO:2000880,0.04021013986059879
GO:2000878,0.04021013986059879
GO:1905459,0.04021013986059879
GO:1905288,0.04021013986059879
GO:1905064,0.04021013986059879
GO:0035502,0.04021013986059879
GO:0035303,0.04021013986059879
GO:0090088,0.04021013986059879
GO:0043170,0.04021013986059879
GO:0043271,0.04021013986059879
GO:2001148,0.04021013986059879
GO:0051173,0.04021013986059879
GO:0090089,0.04021013986059879
GO:2001150,0.04021013986059879
GO:0099536,0.04346271986434188
GO:0032006,0.043663729635737926
GO:0030218,0.04987959242508681
GO:0006368,0.04987959242508681
GO:0044085,0.04987959242508681
